"COREAD","ESCA","HEALTHY","LIHC","NSCLC","PACA","STAD","split_name","train_early_percentage","test_early_percentage","MFR_train_auc","MFR_test_auc","FSI_train_auc","FSI_test_auc","CAFF_train_auc","CAFF_test_auc","FEM_train_auc","FEM_test_auc","Cancer_prob_train_auc","Cancer_prob_test_auc"
5,3,2,6,2,6,5,"split_110",0.407207207207207,0.204444444444444,0.942,0.9,0.913,0.915,0.823,0.858,0.971,0.879,0.984,0.926
6,3,2,6,2,6,5,"split_111",0.404339250493097,0.245421245421245,0.937,0.902,0.914,0.914,0.82,0.858,0.967,0.892,0.982,0.936
2,4,2,6,2,6,5,"split_112",0.430711610486891,0.170731707317073,0.928,0.922,0.907,0.92,0.808,0.888,0.969,0.898,0.98,0.943
5,4,2,6,2,6,5,"split_113",0.4375,0.162698412698413,0.931,0.923,0.911,0.919,0.811,0.88,0.971,0.887,0.983,0.935
6,4,2,6,2,6,5,"split_114",0.4375,0.206666666666667,0.929,0.926,0.905,0.922,0.806,0.877,0.965,0.903,0.981,0.946
2,3,3,6,2,6,5,"split_115",0.401069518716578,0.214611872146119,0.939,0.908,0.918,0.91,0.843,0.867,0.969,0.887,0.98,0.932
5,3,3,6,2,6,5,"split_116",0.407207207207207,0.204444444444444,0.937,0.906,0.909,0.907,0.847,0.857,0.969,0.886,0.98,0.926
6,3,3,6,2,6,5,"split_117",0.404339250493097,0.245421245421245,0.934,0.907,0.917,0.915,0.841,0.864,0.965,0.896,0.977,0.942
2,4,3,6,2,6,5,"split_118",0.430711610486891,0.170731707317073,0.933,0.922,0.91,0.912,0.832,0.887,0.967,0.889,0.977,0.935
5,4,3,6,2,6,5,"split_119",0.4375,0.162698412698413,0.932,0.924,0.909,0.912,0.836,0.877,0.969,0.889,0.978,0.933
6,4,3,6,2,6,5,"split_120",0.4375,0.206666666666667,0.929,0.923,0.912,0.913,0.828,0.88,0.964,0.897,0.975,0.942
2,3,2,1,3,6,5,"split_121",0.352475247524752,0.341818181818182,0.937,0.886,0.917,0.895,0.822,0.852,0.969,0.825,0.981,0.904
5,3,2,1,3,6,5,"split_122",0.35871743486974,0.330960854092527,0.937,0.891,0.927,0.898,0.825,0.846,0.97,0.836,0.982,0.912
6,3,2,1,3,6,5,"split_123",0.350332594235033,0.346504559270517,0.936,0.893,0.91,0.907,0.822,0.848,0.968,0.855,0.98,0.921
2,4,2,1,3,6,5,"split_124",0.382845188284519,0.294701986754967,0.926,0.907,0.909,0.906,0.809,0.871,0.969,0.834,0.979,0.917
5,4,2,1,3,6,5,"split_125",0.389830508474576,0.285714285714286,0.923,0.909,0.909,0.908,0.812,0.865,0.97,0.846,0.979,0.922
6,4,2,1,3,6,5,"split_126",0.384433962264151,0.306179775280899,0.917,0.909,0.915,0.918,0.807,0.864,0.965,0.864,0.977,0.932
2,3,3,1,3,6,5,"split_127",0.352475247524752,0.341818181818182,0.936,0.886,0.919,0.892,0.845,0.855,0.965,0.889,0.976,0.93
5,3,3,1,3,6,5,"split_128",0.35871743486974,0.330960854092527,0.937,0.891,0.923,0.896,0.85,0.847,0.967,0.888,0.979,0.933
6,3,3,1,3,6,5,"split_129",0.350332594235033,0.346504559270517,0.935,0.901,0.919,0.898,0.843,0.854,0.958,0.907,0.973,0.945
2,4,3,1,3,6,5,"split_130",0.382845188284519,0.294701986754967,0.932,0.909,0.919,0.9,0.833,0.873,0.966,0.889,0.977,0.935
